seed,step,eval_return
27,47000,389.4
27,48000,468.8
27,49000,453.0
27,50000,401.2
28,1000,18.0
28,2000,37.6
28,3000,48.4
28,4000,93.0
28,5000,102.8
28,6000,98.8
28,7000,99.8
28,8000,82.2
28,9000,88.8
28,10000,208.6
28,11000,118.8
28,12000,153.0
28,13000,138.0
28,14000,115.2
28,15000,67.6
28,16000,120.8
28,17000,108.6
28,18000,224.4
28,19000,220.2
28,20000,298.4
28,21000,75.2
28,22000,115.0
28,23000,160.0
28,24000,171.4
28,25000,256.0
28,26000,202.2
28,27000,279.8
28,28000,365.0
28,29000,376.8
28,30000,197.8
28,31000,286.6
28,32000,381.4
28,33000,330.0
28,34000,356.0
28,35000,229.4
28,36000,331.0
28,37000,315.0
28,38000,356.2
28,39000,337.8
28,40000,347.0
28,41000,326.4
28,42000,452.8
28,43000,466.0
28,44000,362.2
28,45000,296.6
28,46000,409.4
28,47000,309.4
28,48000,385.6
28,49000,431.4
28,50000,348.8
29,1000,44.6
29,2000,31.8
29,3000,52.0
29,4000,29.2
29,5000,81.6
29,6000,76.6
29,7000,153.6
29,8000,180.0
29,9000,301.8
29,10000,183.6
29,11000,212.6
29,12000,158.0
29,13000,186.4
29,14000,91.4
29,15000,128.4
29,16000,206.8
29,17000,191.6
29,18000,311.8
29,19000,262.0
29,20000,180.0
29,21000,276.0
29,22000,302.2
29,23000,382.0
29,24000,333.6
29,25000,187.2
29,26000,327.2
29,27000,472.0
29,28000,289.0
29,29000,288.6
29,30000,119.8
29,31000,296.8
29,32000,324.0
29,33000,500.0
29,34000,472.6
29,35000,272.4
29,36000,178.8
29,37000,386.4
29,38000,294.6
29,39000,227.0
29,40000,357.8
29,41000,306.4
29,42000,277.4
29,43000,386.6
29,44000,365.4
29,45000,313.2
29,46000,441.4
29,47000,500.0
29,48000,386.6
29,49000,475.4
29,50000,275.4
